"","loan_status","loan_amnt","grade","home_ownership","annual_inc","age","ir_cat","emp_cat"
"15020","0",25000,"B","RENT",54996,22,"Missing","15-30"
"5461","1",2200,"A","MORTGAGE",45000,31,"0-8","0-15"
"20693","0",14400,"B","MORTGAGE",87663,24,"Missing","0-15"
"15998","0",9500,"A","RENT",70000,33,"Missing","0-15"
"18551","0",7400,"A","MORTGAGE",76160,26,"0-8","15-30"
"14566","0",4800,"A","MORTGAGE",1e+05,29,"0-8","0-15"
"4597","0",3000,"A","RENT",39000,28,"0-8","0-15"
"2583","0",12000,"B","MORTGAGE",1e+05,25,"8-11","0-15"
"26689","0",18000,"D","MORTGAGE",70000,22,"13.5+","0-15"
"23727","1",24250,"D","RENT",136000,31,"13.5+","0-15"
"19192","1",2500,"C","RENT",18984,22,"13.5+","15-30"
"23977","0",24250,"B","RENT",2e+05,28,"11-13.5","0-15"
"3684","0",14100,"A","RENT",83203.68,30,"0-8","0-15"
"6322","0",8575,"C","MORTGAGE",63000,28,"11-13.5","0-15"
"19653","1",5000,"B","RENT",49800,45,"Missing","0-15"
"28168","1",10000,"C","MORTGAGE",80000,36,"11-13.5","0-15"
"24354","0",7000,"A","MORTGAGE",79000,29,"Missing","0-15"
"16958","0",4000,"A","RENT",22000,27,"0-8","0-15"
"20075","0",14000,"A","RENT",64000,22,"0-8","0-15"
"10731","0",10000,"A","MORTGAGE",80000,43,"Missing","0-15"
"11819","1",10000,"B","RENT",54996,28,"8-11","0-15"
"10923","0",6000,"B","MORTGAGE",57600,22,"8-11","15-30"
"14743","0",25000,"D","MORTGAGE",3e+05,32,"13.5+","0-15"
"15911","0",10000,"B","RENT",48000,23,"8-11","0-15"
"4904","1",3000,"C","MORTGAGE",58000,27,"13.5+","15-30"
"5982","0",10000,"A","RENT",42000,23,"0-8","0-15"
"20921","0",10000,"C","RENT",65000,30,"11-13.5","0-15"
"3366","0",7000,"A","RENT",25000,27,"8-11","0-15"
"14072","1",3000,"A","MORTGAGE",48000,37,"0-8","Missing"
"23504","0",9800,"A","RENT",60000,25,"Missing","0-15"
"5379","0",6000,"A","RENT",29000,23,"0-8","0-15"
"7288","0",15000,"A","MORTGAGE",175000,29,"8-11","0-15"
"11577","0",8800,"B","MORTGAGE",60000,22,"8-11","0-15"
"4392","0",12000,"B","RENT",50600,27,"8-11","0-15"
"8801","0",35000,"E","MORTGAGE",3e+05,37,"13.5+","15-30"
"16320","0",10000,"A","MORTGAGE",122400,32,"0-8","15-30"
"26140","0",24000,"B","RENT",88596,26,"11-13.5","0-15"
"18684","0",6000,"B","MORTGAGE",63996,24,"8-11","0-15"
"15389","0",8000,"C","RENT",33000,23,"Missing","0-15"
"26431","1",3500,"D","MORTGAGE",97992,22,"13.5+","15-30"
"1192","0",8000,"C","RENT",48500,24,"13.5+","0-15"
"10882","0",10000,"A","MORTGAGE",110000,34,"0-8","0-15"
"10404","0",15000,"D","OWN",80000,35,"13.5+","0-15"
"21823","0",16800,"B","RENT",34819,22,"8-11","0-15"
"26702","0",8800,"D","RENT",46296,29,"13.5+","0-15"
"2124","0",9600,"C","RENT",60000,23,"13.5+","0-15"
"79","0",2100,"B","MORTGAGE",30000,48,"11-13.5","15-30"
"12259","0",3600,"D","RENT",48000,23,"13.5+","0-15"
"854","0",12000,"B","RENT",47840,23,"11-13.5","0-15"
"28096","0",6000,"A","MORTGAGE",75000,23,"0-8","0-15"
"4933","0",16000,"C","MORTGAGE",68000,39,"11-13.5","0-15"
"10336","0",3000,"C","RENT",85000,41,"11-13.5","0-15"
"3857","1",6000,"B","RENT",47000,25,"11-13.5","0-15"
"6831","0",15000,"C","MORTGAGE",1e+05,26,"13.5+","0-15"
"10889","0",3500,"A","RENT",8400,26,"0-8","Missing"
"22913","0",5000,"D","OWN",36000,22,"13.5+","0-15"
"18270","0",12600,"B","RENT",110000,22,"8-11","0-15"
"12651","0",6000,"A","RENT",58000,22,"0-8","0-15"
"21019","0",10000,"D","RENT",33000,21,"Missing","0-15"
"13286","1",6700,"A","RENT",12000,22,"0-8","0-15"
"22370","0",10000,"B","RENT",68000,27,"Missing","0-15"
"20533","1",10000,"C","MORTGAGE",23000,25,"Missing","0-15"
"1185","0",3100,"B","RENT",20000,25,"11-13.5","0-15"
"27911","0",8000,"B","MORTGAGE",51000,24,"8-11","0-15"
"8595","0",15000,"C","RENT",85100,24,"Missing","0-15"
"29076","0",5400,"A","RENT",8000,22,"0-8","0-15"
"11228","0",6000,"A","MORTGAGE",70000,34,"Missing","0-15"
"13249","0",4500,"A","OWN",23000,31,"0-8","0-15"
"28095","0",5000,"C","RENT",54396,35,"11-13.5","0-15"
"10357","0",3600,"A","RENT",51300,25,"0-8","0-15"
"23899","1",5000,"A","MORTGAGE",88000,28,"8-11","15-30"
"18762","1",10000,"A","MORTGAGE",135000,31,"0-8","0-15"
"13743","0",4000,"C","RENT",65499,25,"11-13.5","0-15"
"2319","0",5000,"B","RENT",34992,22,"Missing","0-15"
"5455","0",8000,"C","MORTGAGE",52500,22,"13.5+","0-15"
"37","1",5000,"A","MORTGAGE",1e+05,27,"8-11","15-30"
"26581","0",25000,"C","MORTGAGE",85000,22,"11-13.5","0-15"
"13619","0",1500,"B","RENT",36000,21,"8-11","0-15"
"15524","0",5500,"A","RENT",23000,24,"0-8","0-15"
"27310","0",12000,"A","OWN",69000,37,"8-11","0-15"
"1037","0",5300,"C","RENT",28800,24,"13.5+","0-15"
"3588","0",13225,"D","RENT",40000,22,"13.5+","0-15"
"18307","0",5000,"A","MORTGAGE",45000,24,"Missing","0-15"
"23527","0",1200,"A","MORTGAGE",60000,26,"0-8","15-30"
"6304","0",3075,"C","MORTGAGE",32678.4,32,"13.5+","0-15"
"7733","0",8000,"A","RENT",39996,35,"0-8","0-15"
"5484","0",2500,"D","MORTGAGE",70000,21,"13.5+","Missing"
"11386","1",2400,"C","RENT",18000,26,"11-13.5","0-15"
"25511","0",10000,"B","MORTGAGE",75000,32,"11-13.5","0-15"
"17095","0",2500,"D","OWN",24000,31,"Missing","0-15"
"15720","0",14000,"C","MORTGAGE",70000,33,"11-13.5","0-15"
"5534","0",10000,"A","RENT",84000,23,"0-8","15-30"
"22290","0",15000,"B","MORTGAGE",95000,31,"11-13.5","0-15"
"12327","0",8000,"A","OWN",32800,23,"0-8","0-15"
"24846","0",7000,"D","RENT",47000,21,"13.5+","0-15"
"1748","0",6000,"A","RENT",55000,22,"8-11","0-15"
"26151","0",3000,"A","OWN",30000,25,"8-11","0-15"
"26049","0",1600,"C","OWN",38600,29,"11-13.5","0-15"
"9269","0",8000,"A","RENT",80000,26,"0-8","0-15"
"1824","0",2400,"B","RENT",45000,32,"11-13.5","0-15"
"18375","0",8800,"A","RENT",93200,28,"0-8","0-15"
"24100","1",25000,"B","MORTGAGE",80000,23,"11-13.5","0-15"
"3764","0",6400,"C","MORTGAGE",97000,24,"13.5+","0-15"
"6534","0",2400,"C","RENT",67000,26,"11-13.5","0-15"
"27327","1",12250,"D","RENT",30000,22,"13.5+","0-15"
"3884","0",21000,"A","MORTGAGE",216000,23,"8-11","0-15"
"21120","0",3600,"D","MORTGAGE",40900,22,"13.5+","0-15"
"16592","0",7000,"A","MORTGAGE",120000,27,"0-8","0-15"
"11954","0",7500,"A","RENT",30000,24,"0-8","0-15"
"3145","0",2000,"B","RENT",33600,29,"11-13.5","0-15"
"18680","0",2000,"A","RENT",33000,22,"Missing","0-15"
"19266","1",10000,"C","RENT",32000,23,"11-13.5","15-30"
"27916","0",1000,"C","MORTGAGE",55536,30,"Missing","15-30"
"14069","0",12000,"A","MORTGAGE",50000,24,"0-8","0-15"
"6195","0",21000,"D","MORTGAGE",90000,27,"13.5+","15-30"
"2663","0",30000,"A","RENT",120000,25,"0-8","15-30"
"25879","0",12000,"B","RENT",34999,29,"11-13.5","0-15"
"27607","0",10000,"C","OTHER",40104,23,"11-13.5","0-15"
"6168","0",6000,"C","RENT",31200,26,"13.5+","0-15"
"19897","0",14000,"B","RENT",42000,27,"8-11","0-15"
"7189","0",11000,"F","MORTGAGE",63000,25,"Missing","0-15"
"11130","0",6000,"B","RENT",16000,21,"8-11","15-30"
"5278","0",4200,"A","RENT",23520,23,"Missing","0-15"
"21910","0",10000,"B","MORTGAGE",67000,32,"8-11","0-15"
"240","0",28000,"B","RENT",1e+05,25,"11-13.5","0-15"
"18984","0",8000,"A","MORTGAGE",107364,28,"0-8","0-15"
"22612","0",20000,"B","OWN",150000,33,"11-13.5","15-30"
"27984","0",6300,"C","MORTGAGE",44004,22,"11-13.5","0-15"
"526","0",5000,"B","OWN",35000,23,"11-13.5","15-30"
"12905","0",25000,"B","MORTGAGE",150000,22,"11-13.5","0-15"
"23371","0",5600,"A","RENT",56000,26,"8-11","0-15"
"1716","0",19600,"B","MORTGAGE",60000,35,"8-11","0-15"
"16052","1",8000,"D","RENT",50000,21,"13.5+","0-15"
"20360","0",20000,"B","MORTGAGE",75000,25,"8-11","0-15"
"17310","0",21000,"C","MORTGAGE",75000,30,"13.5+","0-15"
"14760","0",4000,"B","MORTGAGE",40000,22,"8-11","15-30"
"3670","0",10000,"A","MORTGAGE",116000,46,"0-8","0-15"
"27391","0",18500,"B","MORTGAGE",66000,25,"11-13.5","0-15"
"938","0",9000,"A","RENT",45000,22,"0-8","0-15"
"15920","0",5000,"A","RENT",75000,22,"0-8","0-15"
"27489","0",17525,"C","MORTGAGE",151800,30,"11-13.5","0-15"
"5295","0",6000,"A","MORTGAGE",35000,22,"0-8","0-15"
"19964","0",10000,"C","MORTGAGE",48000,29,"11-13.5","0-15"
"16062","0",20000,"B","RENT",90000,23,"11-13.5","0-15"
"6178","1",6000,"D","RENT",18835.2,27,"13.5+","0-15"
"5343","0",2000,"A","MORTGAGE",35000,30,"0-8","15-30"
"14993","0",5000,"C","OWN",24000,22,"11-13.5","0-15"
"3815","0",8000,"A","RENT",32000,48,"0-8","0-15"
"2116","0",5750,"A","RENT",17000,21,"8-11","0-15"
"2409","0",6000,"C","MORTGAGE",195000,34,"13.5+","0-15"
"26318","0",10000,"E","RENT",87996,24,"13.5+","0-15"
"24891","1",20000,"B","RENT",85000,29,"11-13.5","0-15"
"21838","1",15200,"C","MORTGAGE",125000,29,"13.5+","0-15"
"26521","0",13000,"C","RENT",65004,32,"11-13.5","0-15"
"35","0",6000,"A","MORTGAGE",45600,21,"0-8","15-30"
"20222","0",5000,"A","RENT",64000,38,"0-8","0-15"
"14299","0",18200,"B","RENT",36000,24,"8-11","0-15"
"4464","0",8600,"A","MORTGAGE",53724,23,"0-8","0-15"
"28476","0",12000,"E","RENT",73660,27,"13.5+","0-15"
"2610","0",20000,"B","RENT",48000,22,"8-11","0-15"
"17546","0",7500,"B","RENT",40000,28,"11-13.5","0-15"
"16944","0",6000,"B","RENT",20000,30,"Missing","0-15"
"15248","0",9600,"D","OWN",51996,27,"13.5+","0-15"
"25079","0",2500,"B","RENT",38060,25,"11-13.5","15-30"
"23546","0",10000,"B","RENT",49920,22,"11-13.5","0-15"
"13558","0",10000,"D","MORTGAGE",61000,24,"13.5+","0-15"
"22191","0",10000,"B","OWN",80000,32,"11-13.5","0-15"
"16795","0",1750,"C","RENT",10000,22,"13.5+","Missing"
"20097","1",1600,"B","RENT",18000,33,"8-11","0-15"
"10542","0",20000,"B","MORTGAGE",56000,22,"8-11","0-15"
"8854","1",9950,"C","RENT",30784,33,"11-13.5","0-15"
"28432","0",22000,"C","MORTGAGE",90000,33,"11-13.5","0-15"
"8934","0",10000,"A","MORTGAGE",60000,22,"Missing","0-15"
"18181","0",25000,"B","RENT",72000,27,"8-11","0-15"
"28270","1",7200,"C","RENT",31000,29,"11-13.5","0-15"
"25862","0",12500,"A","MORTGAGE",92800,28,"8-11","0-15"
"24495","0",15000,"D","RENT",90000,30,"13.5+","0-15"
"18067","0",20000,"A","OWN",85000,27,"0-8","0-15"
"8751","0",5850,"B","RENT",44000,48,"8-11","0-15"
"11867","0",2000,"A","MORTGAGE",30000,22,"0-8","0-15"
"10630","0",10000,"B","OWN",34500,33,"8-11","0-15"
"3334","0",8000,"A","RENT",68500,27,"0-8","0-15"
"1580","0",15000,"B","RENT",95000,25,"11-13.5","0-15"
"7582","0",4250,"A","MORTGAGE",72000,33,"0-8","0-15"
"19394","1",19600,"D","RENT",77000,33,"13.5+","15-30"
"15438","0",20000,"A","MORTGAGE",112976,23,"0-8","0-15"
"16323","0",1500,"B","RENT",57996,24,"8-11","0-15"
"22005","0",7000,"A","RENT",38000,26,"0-8","0-15"
"23577","0",9250,"B","RENT",28000,30,"11-13.5","0-15"
"26691","0",20000,"D","MORTGAGE",114000,32,"13.5+","15-30"
"14394","0",12250,"A","MORTGAGE",45000,46,"0-8","0-15"
"11530","1",2500,"A","RENT",150000,44,"0-8","0-15"
"16891","0",25000,"B","MORTGAGE",90000,28,"11-13.5","0-15"
"19306","0",6000,"C","RENT",40000,27,"11-13.5","0-15"
"21439","0",10000,"C","RENT",45000,24,"11-13.5","0-15"
"8075","0",7800,"B","MORTGAGE",74000,28,"8-11","0-15"
"25105","0",3000,"B","MORTGAGE",65200,24,"11-13.5","0-15"
"17649","0",25000,"D","MORTGAGE",78000,23,"13.5+","0-15"
"9746","0",3250,"D","OWN",25920,24,"13.5+","0-15"
"4977","0",7000,"A","MORTGAGE",1e+05,28,"8-11","0-15"
"21339","0",7000,"A","MORTGAGE",70000,26,"0-8","0-15"
"10458","0",12250,"B","RENT",36000,24,"11-13.5","0-15"
"18283","0",7500,"A","MORTGAGE",40800,26,"0-8","0-15"
"24029","1",8000,"C","RENT",39100,39,"13.5+","0-15"
"2654","0",8000,"A","MORTGAGE",53000,24,"0-8","15-30"
"12576","0",5000,"A","RENT",61000,22,"0-8","0-15"
"1064","1",8475,"B","RENT",38423.87,32,"Missing","0-15"
"10457","0",12000,"A","OWN",110400,21,"Missing","0-15"
"19693","0",5000,"C","MORTGAGE",36000,30,"13.5+","0-15"
"11986","1",10000,"B","RENT",36000,27,"8-11","0-15"
"16073","0",7200,"B","RENT",40000,42,"8-11","0-15"
"27663","0",4000,"A","MORTGAGE",58500,23,"0-8","0-15"
"15497","0",16000,"D","RENT",68000,30,"13.5+","0-15"
"1618","0",7100,"B","OWN",24000,24,"11-13.5","0-15"
"27555","0",2400,"B","RENT",14000,37,"Missing","0-15"
"2825","0",9600,"A","MORTGAGE",54000,26,"0-8","0-15"
"757","0",9000,"A","RENT",52800,24,"0-8","0-15"
"16832","0",3000,"D","RENT",70000,24,"13.5+","0-15"
"13920","0",8000,"D","RENT",56000,31,"13.5+","0-15"
"11716","0",6000,"A","MORTGAGE",135000,24,"0-8","0-15"
"6817","0",30000,"D","MORTGAGE",68000,27,"13.5+","0-15"
"4744","0",8800,"A","RENT",48000,22,"0-8","0-15"
"24225","0",7000,"A","RENT",46000,23,"0-8","0-15"
"5538","0",6200,"A","MORTGAGE",76800,36,"0-8","15-30"
"700","0",6400,"D","RENT",50000,32,"Missing","15-30"
"12226","0",10000,"C","RENT",50911.2,32,"11-13.5","0-15"
"10177","0",2500,"B","MORTGAGE",40000,24,"8-11","0-15"
"28512","1",5000,"B","RENT",69600,30,"8-11","0-15"
"11286","0",2500,"A","RENT",15600,23,"0-8","Missing"
"6075","0",16000,"A","MORTGAGE",150000,42,"8-11","0-15"
"18636","0",25000,"B","RENT",84996,36,"11-13.5","0-15"
"17041","0",4000,"B","MORTGAGE",170000,28,"Missing","0-15"
"20265","0",1500,"B","RENT",45000,26,"8-11","0-15"
"25180","1",14800,"F","MORTGAGE",60000,29,"13.5+","0-15"
"18690","0",13750,"A","RENT",35000,25,"0-8","0-15"
"2779","0",4000,"C","MORTGAGE",103000,23,"11-13.5","0-15"
"20243","0",3000,"B","RENT",50000,22,"8-11","0-15"
"5076","0",35000,"E","RENT",150000,33,"13.5+","0-15"
"5611","0",25600,"A","MORTGAGE",192000,37,"0-8","0-15"
"10928","0",24000,"B","RENT",52000,25,"8-11","Missing"
"2859","0",2400,"B","RENT",15000,49,"8-11","0-15"
"21962","0",11200,"B","RENT",150000,50,"11-13.5","0-15"
"13036","0",18000,"B","MORTGAGE",68000,31,"8-11","0-15"
"24377","0",20000,"B","MORTGAGE",89800,22,"11-13.5","0-15"
"26626","0",16000,"B","MORTGAGE",86000,23,"11-13.5","0-15"
"24743","0",3000,"A","MORTGAGE",48000,30,"0-8","0-15"
"6029","1",10000,"A","MORTGAGE",50000,26,"0-8","0-15"
"22134","0",5000,"A","OWN",39124,22,"0-8","0-15"
"14654","0",1500,"B","RENT",35000,23,"8-11","0-15"
"5667","0",7500,"B","RENT",47500,21,"8-11","0-15"
"13084","0",20000,"B","MORTGAGE",56533,24,"11-13.5","Missing"
"11751","1",10000,"A","RENT",57000,22,"0-8","15-30"
"840","0",10000,"B","RENT",27000,23,"Missing","0-15"
"19557","0",11000,"A","RENT",48996,25,"0-8","0-15"
"21154","0",16000,"C","RENT",47831,28,"13.5+","0-15"
"8955","0",4800,"C","RENT",105000,24,"Missing","0-15"
"198","0",12000,"A","RENT",42000,32,"0-8","0-15"
"419","0",5000,"B","RENT",40000,23,"11-13.5","0-15"
"19616","0",5000,"A","MORTGAGE",51996,28,"0-8","0-15"
"5090","0",8000,"B","RENT",65000,24,"11-13.5","0-15"
"55","0",12000,"D","RENT",50000,25,"13.5+","0-15"
"9368","0",3000,"B","RENT",45000,24,"8-11","0-15"
"8708","0",6000,"B","RENT",95000,24,"8-11","0-15"
"19629","0",19000,"B","RENT",73000,24,"8-11","15-30"
"24594","0",8000,"B","RENT",65004,38,"11-13.5","0-15"
"22335","0",15000,"C","RENT",60132,22,"13.5+","0-15"
"6975","0",14000,"A","MORTGAGE",2e+05,36,"0-8","0-15"
"20328","0",1000,"B","RENT",40000,23,"8-11","0-15"
"863","0",10000,"C","RENT",47500,31,"13.5+","0-15"
"4185","0",12000,"C","RENT",48000,25,"11-13.5","0-15"
"12830","0",20000,"C","MORTGAGE",75000,34,"11-13.5","0-15"
"18324","0",20000,"B","RENT",75000,25,"8-11","0-15"
"5031","0",24000,"A","MORTGAGE",150000,40,"0-8","15-30"
"11855","0",15000,"B","MORTGAGE",1e+05,25,"Missing","0-15"
"12648","1",5250,"A","RENT",24000,23,"0-8","0-15"
"744","0",10000,"C","RENT",65000,30,"13.5+","0-15"
"4749","0",12500,"B","RENT",31000,23,"8-11","0-15"
"23376","0",10000,"A","MORTGAGE",44500,28,"8-11","0-15"
"16236","0",5000,"A","MORTGAGE",68000,42,"0-8","0-15"
"23129","0",14400,"B","OWN",28000,30,"11-13.5","15-30"
"2364","0",10000,"A","RENT",45000,23,"0-8","15-30"
"15610","0",10000,"A","MORTGAGE",1e+05,28,"0-8","0-15"
"15564","0",2000,"A","MORTGAGE",35000,31,"Missing","0-15"
"11664","0",10800,"A","MORTGAGE",110000,25,"0-8","0-15"
"6490","0",9600,"B","RENT",46000,22,"8-11","0-15"
"3240","0",4400,"A","MORTGAGE",61104,28,"8-11","0-15"
"2029","0",1000,"B","MORTGAGE",70000,25,"11-13.5","0-15"
"5193","0",8400,"B","MORTGAGE",65454,25,"11-13.5","0-15"
"12352","1",3000,"B","RENT",40000,28,"8-11","0-15"
"12191","0",18000,"C","MORTGAGE",85000,30,"11-13.5","0-15"
"19102","0",1200,"D","RENT",35004,22,"13.5+","0-15"
"2930","1",7000,"A","OWN",27600,24,"0-8","0-15"
"3949","0",8000,"A","MORTGAGE",61200,30,"0-8","Missing"
"14694","1",25000,"B","MORTGAGE",65000,21,"8-11","15-30"
"26875","0",20000,"E","MORTGAGE",115000,32,"13.5+","0-15"
"21303","0",5000,"B","MORTGAGE",95000,26,"8-11","0-15"
"25227","0",10500,"C","RENT",51504,38,"11-13.5","0-15"
"6503","0",11200,"C","RENT",54000,23,"13.5+","0-15"
"16156","0",1500,"A","RENT",19200,27,"0-8","0-15"
"20417","1",12000,"A","MORTGAGE",80000,25,"0-8","0-15"
"13196","0",10000,"B","RENT",38004,22,"8-11","0-15"
"3985","0",9600,"C","RENT",25000,28,"13.5+","0-15"
"20228","0",6250,"C","RENT",21000,21,"13.5+","0-15"
"10130","0",15000,"B","MORTGAGE",50000,24,"8-11","0-15"
"1173","0",1000,"B","RENT",12000,25,"8-11","0-15"
"22048","0",20000,"C","RENT",55000,27,"11-13.5","0-15"
"19386","0",6600,"C","RENT",41000,26,"13.5+","0-15"
"26438","0",3000,"A","RENT",17916,21,"0-8","0-15"
"19181","0",8000,"A","RENT",45996,22,"0-8","0-15"
"4583","1",12000,"D","MORTGAGE",44004,27,"13.5+","0-15"
"5466","1",3200,"D","RENT",60000,22,"13.5+","0-15"
"28225","0",5000,"B","RENT",42000,32,"8-11","0-15"
"18068","0",12000,"C","RENT",136000,26,"13.5+","0-15"
"24741","1",4000,"B","MORTGAGE",60000,22,"11-13.5","0-15"
"11110","0",1000,"D","RENT",24000,33,"13.5+","Missing"
"23603","0",5000,"A","MORTGAGE",80000,29,"0-8","0-15"
"19566","0",5000,"B","RENT",40000,25,"11-13.5","0-15"
"20468","0",15000,"C","MORTGAGE",80300,34,"11-13.5","0-15"
"4471","1",10000,"D","OWN",36000,36,"13.5+","0-15"
"814","0",6000,"C","MORTGAGE",50000,31,"11-13.5","0-15"
"8039","0",2000,"C","RENT",89100,25,"11-13.5","0-15"
"21906","0",9700,"C","MORTGAGE",180000,26,"13.5+","0-15"
"23965","0",3000,"B","RENT",56400,27,"11-13.5","0-15"
"18388","1",10500,"D","RENT",50000,30,"13.5+","0-15"
"10810","0",8000,"B","MORTGAGE",63189,23,"8-11","0-15"
"6873","0",6000,"B","MORTGAGE",68000,30,"8-11","0-15"
"18495","0",7350,"B","MORTGAGE",48000,25,"11-13.5","0-15"
"2834","0",4200,"B","RENT",55000,41,"11-13.5","0-15"
"6642","1",14500,"A","MORTGAGE",76500,26,"0-8","0-15"
"6429","1",4000,"D","MORTGAGE",25344,24,"13.5+","0-15"
"17109","1",6250,"C","OWN",14400,21,"13.5+","0-15"
"6767","0",3000,"B","MORTGAGE",31200,37,"8-11","0-15"
"25052","0",8000,"B","RENT",47000,22,"11-13.5","0-15"
"23150","1",4750,"E","MORTGAGE",31200,25,"Missing","0-15"
"24460","0",8000,"B","RENT",30000,22,"11-13.5","0-15"
"7118","0",7500,"A","OWN",28800,24,"8-11","Missing"
"12054","0",24000,"B","MORTGAGE",177160,25,"11-13.5","0-15"
"18598","0",6000,"B","MORTGAGE",96000,30,"11-13.5","0-15"
"14757","1",2900,"B","MORTGAGE",70992,24,"8-11","0-15"
"25213","0",9600,"D","RENT",90000,25,"13.5+","0-15"
"5548","0",2000,"C","MORTGAGE",51024,24,"11-13.5","15-30"
"13976","0",3025,"A","MORTGAGE",2e+05,24,"0-8","0-15"
"16605","0",2000,"B","RENT",80000,25,"11-13.5","15-30"
"18503","0",10000,"A","MORTGAGE",160000,37,"0-8","0-15"
"1732","0",12000,"C","MORTGAGE",46000,30,"Missing","0-15"
"18888","0",18000,"C","RENT",61500,25,"11-13.5","0-15"
"10735","0",10000,"A","RENT",64900,31,"0-8","0-15"
"8392","0",6000,"C","RENT",24000,24,"11-13.5","Missing"
"14407","0",13000,"A","MORTGAGE",37200,24,"0-8","0-15"
"28360","0",19600,"E","MORTGAGE",75000,23,"13.5+","0-15"
"17395","0",11300,"C","RENT",60000,42,"13.5+","0-15"
"445","0",14000,"D","MORTGAGE",88000,31,"13.5+","0-15"
